trial_id,spike_times,condition_id,condition_angle,unit_label
94,"[15.9, 27.6, 145.2, 194.5, 215.2, 258.9, 277.8, 290.4, 293.6, 338.2, 468.7, 485.1, 492.8, 503.0, 546.2, 578.8, 589.3, 631.5, 636.1, 688.4, 737.7, 771.1, 806.9, 868.5, 1331.9, 1918.1, 2345.6, 2605.4, 3782.6, 4065.1]",7,210,"A588, U18, #15, OT"
95,"[135.3, 582.5, 598.6, 1416.5, 1747.2, 1896.0, 2004.1, 2122.1, 2483.0, 2525.2, 2741.9, 3452.6, 3553.6, 3572.1, 3784.6]",0,0,"A588, U18, #15, OT"
96,"[34.4, 609.0, 2269.1, 2351.3, 2360.3, 2585.5, 3677.6, 4049.8, 4065.6, 4067.1, 4172.0, 4271.6, 4291.5, 4325.5, 4444.2, 4469.7]",2,60,"A588, U18, #15, OT"
97,"[3.7, 32.0, 206.6, 323.7, 358.1, 1347.4, 1353.6, 1500.9, 1524.5, 1726.8, 1816.4, 1877.4, 1892.9, 1962.4, 1976.8, 2067.8, 2519.2, 2551.6, 2670.3, 2882.0, 4168.2, 4186.2, 4241.7, 4272.0, 4280.5, 4423.7]",11,330,"A588, U18, #15, OT"
98,"[580.1, 1874.2, 2541.3, 3288.9, 4156.2, 4213.0]",8,240,"A588, U18, #15, OT"
99,"[1208.3, 3184.3, 3329.9, 3430.6, 4061.4, 4091.3, 4227.1, 4304.9, 4448.8]",11,330,"A588, U18, #15, OT"
100,"[1855.4, 3412.0, 3496.9]",6,180,"A588, U18, #15, OT"
101,"[1004.7, 2323.9, 3311.0, 3769.7]",4,120,"A588, U18, #15, OT"
102,[2936.1],7,210,"A588, U18, #15, OT"
103,"[2003.5, 2831.1]",5,150,"A588, U18, #15, OT"
104,"[38.6, 75.9, 290.9, 801.3, 2871.6, 3034.2, 3062.7, 3119.0, 3178.0, 3238.4, 3279.6, 4218.0, 4358.8, 4436.8]",10,300,"A588, U18, #15, OT"
105,"[2010.7, 2364.1, 3688.9, 3898.9, 4057.8, 4068.6, 4074.2, 4084.8, 4094.3, 4150.2, 4172.7, 4214.8, 4287.0, 4330.8, 4341.3, 4418.3, 4419.8, 4422.7]",9,270,"A588, U18, #15, OT"
106,"[525.2, 690.0, 831.2, 1183.9, 1368.7, 1435.8, 2957.1, 3012.3, 3123.9, 3173.2, 3386.7, 3412.3, 3441.0, 4161.1]",1,30,"A588, U18, #15, OT"
107,"[729.6, 899.4, 1002.2, 1106.8, 2249.9, 2296.0, 2484.2, 2540.7, 2572.0, 2793.0, 3194.0, 3302.3, 3394.0, 3453.6, 3978.6, 4109.6, 4171.9, 4177.9, 4228.2, 4257.6, 4261.4, 4335.3]",0,0,"A588, U18, #15, OT"
108,"[47.7, 145.1, 1322.4, 3540.6]",3,90,"A588, U18, #15, OT"
109,"[582.9, 1761.5, 2368.0]",2,60,"A588, U18, #15, OT"
110,"[1636.7, 1679.0, 1703.7, 1712.0, 1854.0, 2330.8, 3751.7, 3824.0]",3,90,"A588, U18, #15, OT"
111,"[142.7, 355.6, 1962.2, 2219.1, 2294.3, 2410.3, 2510.3, 2544.2, 2575.8, 3637.8, 3739.4, 3925.5, 4032.2, 4043.0, 4304.8]",6,180,"A588, U18, #15, OT"
112,"[53.0, 66.3, 169.0, 175.3, 416.9, 494.7, 893.0, 2349.1, 2739.8, 2757.8, 2846.8, 2888.4, 2903.2, 2945.0, 2989.7, 3047.4, 3184.5, 3275.8, 3357.6, 3502.0]",7,210,"A588, U18, #15, OT"
113,"[675.2, 716.1, 952.1, 1184.9, 1266.4, 1398.4, 1663.7, 1693.2, 2351.4, 2381.3, 2401.0, 2429.8, 2545.5, 2689.8, 2767.7, 2784.1, 2809.2, 2901.1, 2924.5, 3019.6, 3043.6, 3061.8, 3774.5, 3829.7]",4,120,"A588, U18, #15, OT"
114,"[436.0, 653.5, 2194.4, 2290.2]",5,150,"A588, U18, #15, OT"
115,"[40.8, 682.2, 872.0, 1007.7, 1108.5, 1122.8, 1191.9, 1596.7, 1941.9, 3365.7, 3409.6, 3693.3, 4014.4, 4066.0, 4111.3, 4231.2]",0,0,"A588, U18, #15, OT"
116,"[137.9, 170.5, 184.9, 225.9, 249.2, 253.7, 275.5, 286.8, 289.2, 326.1, 387.0, 428.5, 491.0, 720.8, 774.4, 810.2, 888.9, 1323.7, 1916.3, 1939.4, 2632.7, 2827.7, 4091.7, 4108.8, 4165.0, 4179.6, 4199.6, 4211.8, 4229.9, 4247.7, 4278.5, 4304.9, 4320.0, 4339.9, 4347.4, 4362.5, 4386.9, 4410.1, 4424.0]",10,300,"A588, U18, #15, OT"
117,"[273.0, 294.0, 938.2, 974.2, 976.6, 998.5, 1651.7]",2,60,"A588, U18, #15, OT"
118,"[103.1, 273.5, 1645.9, 1650.6, 3059.9, 3756.4, 3827.7, 3984.6, 4211.9, 4350.4, 4378.8]",1,30,"A588, U18, #15, OT"
119,"[1051.4, 1517.9, 1585.8, 1791.3, 1921.8, 2011.8, 2075.8, 2120.6, 2141.4, 4158.4, 4193.8, 4196.3, 4291.1, 4436.1]",11,330,"A588, U18, #15, OT"
120,"[275.0, 1337.6, 1663.0, 1693.0, 2512.8, 2762.1, 2890.5, 2901.7, 2917.4, 2922.2, 2933.9, 2942.1, 3017.9, 3025.1, 3128.4, 3762.0, 4064.9, 4117.2, 4146.5, 4260.6, 4285.6, 4403.2, 4439.3, 4472.4]",9,270,"A588, U18, #15, OT"
121,"[2482.0, 2485.0, 3493.3, 3683.1, 4110.4, 4179.6]",8,240,"A588, U18, #15, OT"
122,"[930.7, 1033.6, 1479.5, 1633.5, 3469.8, 3484.9, 3559.5, 3633.9, 3999.7, 4067.7]",7,210,"A588, U18, #15, OT"
123,"[153.0, 270.9, 427.6, 646.8, 3352.7, 4072.6]",1,30,"A588, U18, #15, OT"
124,"[308.3, 716.7, 730.6, 761.1, 837.0, 889.7, 982.5, 1117.6, 1125.8, 1367.0, 1415.8, 1724.5, 2366.5, 2557.9, 2591.0, 3364.4, 3652.6, 3737.7, 3924.1, 3947.8, 4396.9]",6,180,"A588, U18, #15, OT"
125,"[18.8, 152.0, 205.8, 908.4, 1026.1, 1052.1, 1076.5, 1099.4, 1125.7, 1151.7, 1229.2, 2080.2, 2165.4, 2538.3, 3553.0]",4,120,"A588, U18, #15, OT"
126,"[64.2, 182.6, 240.1, 516.1, 593.8, 1488.7, 2172.8, 2279.7, 2333.0, 2469.9, 2514.9, 2553.2, 2573.1, 2591.3, 2610.5, 3423.4, 3431.7, 3569.0, 3642.1, 3675.5, 3770.3, 3917.4, 3980.2, 4006.6, 4029.8, 4156.1]",5,150,"A588, U18, #15, OT"
127,"[22.9, 366.3, 464.9, 497.6, 2380.3, 2483.0, 3289.9, 4086.9, 4140.9, 4203.5, 4282.0, 4368.8, 4437.9]",0,0,"A588, U18, #15, OT"
